Compound,Compound ID,Adducts,Formula,Score,Mass Error (ppm),Isotope Similarity,Theoretical Isotope Distribution,Description,m/z,Charge,Retention time (min),Anova (p),q Value,Max Fold Change,,Endogenous and blood,
0.70_297.2393m/z,HMDB0032017,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,"3,4,5-Trimethylbenzaldehyde",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0032140,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,"2',4'-Dimethylacetophenone",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0033382,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,2-(4-Methylphenyl)propanal,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0034121,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,1-Methoxy-4-(2-propenyl)benzene,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0059845,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,p-Ethylacetophenone,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0061651,M+H-H2O,C19H38O3,24.5,-125.7629025,83.05918115,100 - 21.1 - 2.73 - 0.264,3-hydroxypristanic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0013622,M+H,C19H36O2,24.2,-133.4081163,83.27679473,100 - 21 - 2.51 - 0.219,Nonadeca-10(Z)-enoic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0035575,M+H,C19H36O2,24.2,-133.4081163,83.27679473,100 - 21 - 2.51 - 0.219,"4,6-Nonadecanedione",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0030263,M+H-H2O,C19H26N2O2,24,137.3075902,82.76768166,100 - 21.7 - 2.64 - 0.235,Rhazidigenine Nb-oxide,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0015228,M+NH4,C14H21N3O3,23.9,168.9533277,86.85879687,100 - 16.6 - 1.91 - 0.165,Oxamniquine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0028956,M+Na,C12H26N4O3,23.9,180.7816136,88.37215524,100 - 14.9 - 1.65 - 0.136,Lysyl-Lysine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0014521,M+H,C19H24N2O,23.8,145.6569552,82.98472009,100 - 21.6 - 2.42 - 0.189,Palonosetron,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0030283,M+H,C19H24N2O,23.8,145.6569552,82.98472009,100 - 21.6 - 2.42 - 0.189,Hydrocinchonine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0060952,M+H,C19H24N2O,23.8,145.6569552,82.98472009,100 - 21.6 - 2.42 - 0.189,2-hydroxyimipramine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0000227,2M+H,C6H12O4,23.6,286.6401042,95.61870934,100 - 6.78 - 1.02,Mevalonic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0012140,2M+H,C6H12O4,23.6,286.6401042,95.61870934,100 - 6.78 - 1.02,"(R) 2,3-Dihydroxy-3-methylvalerate",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0013889,M+NH4,C19H21NO,23.6,154.540813,83.31614594,100 - 21.2 - 2.34 - 0.179,E-10-Hydroxynortriptyline,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0015273,M+NH4,C19H21NO,23.6,154.540813,83.31614594,100 - 21.2 - 2.34 - 0.179,Doxepin,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0031639,2M+H,C6H12O4,23.6,286.6401042,95.61870934,100 - 6.78 - 1.02,Glycerol 1-propanoate,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0059629,2M+H,C6H12O4,23.6,286.6401042,95.61870934,100 - 6.78 - 1.02,(R)-mevalonate,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0059705,2M+H,C6H12O4,23.6,286.6401042,95.61870934,100 - 6.78 - 1.02,(2-Methoxyethoxy)propanoic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0014441,M+Na,C17H26N2O,23.5,166.1083375,84.76774493,100 - 19.5 - 2 - 0.144,Ropivacaine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0037992,M+Na,C17H26N2O,23.5,166.1083375,84.76774493,100 - 19.5 - 2 - 0.144,Cyanidin 3-(diferuloylsophoroside) 5-glucoside,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0015237,M+NH4,C17H26ClN,21.5,107.7413434,64.63744181,100 - 19.1 - 33.7 - 6.19 - 0.552,Sibutramine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.91_136.0750m/z,HMDB0000034,M+H,C5H5N5,28.8,97.82712808,98.59361662,100 - 7.29 - 0.233,Adenine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000073,M+H-H2O,C8H11NO2,38.7,-4.616812496,98.70917199,100 - 9.22 - 0.789,Dopamine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000202,M+NH4,C4H6O4,27.1,123.2722795,95.48502081,100 - 4.55 - 0.902,Methylmalonic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000254,M+NH4,C4H6O4,27.1,123.2722795,95.48502081,100 - 4.55 - 0.902,Succinic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000349,M+NH4,C4H6O4,27.1,123.2722795,95.48502081,100 - 4.55 - 0.902,"Erythrono-1,4-lactone",136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000351,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,"3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid",136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000354,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,2-Methyl-3-hydroxybutyric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000396,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,2-Ethylhydracrylic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000407,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,2-Hydroxy-3-methylbutyric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000410,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,"3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid",136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000531,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,3-Hydroxyvaleric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000562,M+Na,C4H7N3O,24.5,237.4962828,96.89512916,100 - 5.54 - 0.334,Creatinine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000642,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,Erythronilic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000742,M+H,C4H9NO2S,23.6,239.2531537,92.77778436,100 - 5.67 - 5.06 - 0.245,Homocysteine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
